id_referencia_some,id_element,client,element,property,pieza,datum
JOYSON_3118675_AB_1206682, N36.5_Posición,JOYSON, N36.5,Posición,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N36.8_Posición,JOYSON, N36.8,Posición,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N30.1 / N40.1_PosiciónØ,JOYSON, N30.1 / N40.1,PosiciónØ,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N23_Posición,JOYSON, N23,Posición,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N25_Posición,JOYSON, N25,Posición,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N39_Ø,JOYSON, N39,Ø,1206682.0,nan
JOYSON_3118675_AB_1206682, N40_Ø,JOYSON, N40,Ø,1206682.0,nan
JOYSON_3118675_AB_1206682," N7,1_∠XY",JOYSON," N7,1",∠XY,nan,nan
JOYSON_3118675_AB_1206682, N7.2_∠XY,JOYSON, N7.2,∠XY,nan,nan
JOYSON_3118675_AB_1206682, N36.6_Posición,JOYSON, N36.6,Posición,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N30.2 / N40.2_PosiciónØ,JOYSON, N30.2 / N40.2,PosiciónØ,1206682.0,Sistema global de coordenadas
JOYSON_3118675_AB_1206682, N30.4 / N39.2_PosiciónØ,JOYSON, N30.4 / N39.2,PosiciónØ,1206682.0,Sistema global de coordenadas
JOYSON_3127672_AB_11887, N30.3 / N39.1_PosiciónØ,JOYSON, N30.3 / N39.1,PosiciónØ,11887.0,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N33.1_Posición,JOYSON, N33.1,Posición,1207970A,Sistema global de coordenadas
JOYSON_3118675_AB_1207970A, N33.2_Posición,JOYSON, N33.2,Posición,1207970A,Sistema global de coordenadas
